solver,admitted,objective,avg_latency_ms,avg_energy_mJ,total_latency_ms,total_energy_mJ,feasible,solve_time_s,lambda_T,lambda_E
proposed_two_stage,3,2.998767,3.7749,0.3337,11.3248,1.0012,True,0.0016,0.1,0.1
proposed_two_stage,3,2.998367,3.7749,0.3337,11.3248,1.0012,True,0.0016,0.1,0.5
proposed_two_stage,3,2.997866,3.7749,0.3337,11.3248,1.0012,True,0.0019,0.1,1.0
proposed_two_stage,3,2.996865,3.7749,0.3337,11.3248,1.0012,True,0.0014,0.1,2.0
proposed_two_stage,3,2.993861,3.7749,0.3337,11.3248,1.0012,True,0.0016,0.1,5.0
proposed_two_stage,3,2.988855,3.7749,0.3337,11.3248,1.0012,True,0.0024,0.1,10.0
proposed_two_stage,3,2.994237,3.7749,0.3337,11.3248,1.0012,True,0.0026,0.5,0.1
proposed_two_stage,3,2.993837,3.7749,0.3337,11.3248,1.0012,True,0.0027,0.5,0.5
proposed_two_stage,3,2.993336,3.7749,0.3337,11.3248,1.0012,True,0.0023,0.5,1.0
proposed_two_stage,3,2.992335,3.7749,0.3337,11.3248,1.0012,True,0.0026,0.5,2.0
proposed_two_stage,3,2.989331,3.7749,0.3337,11.3248,1.0012,True,0.0022,0.5,5.0
proposed_two_stage,3,2.984325,3.7749,0.3337,11.3248,1.0012,True,0.0015,0.5,10.0
proposed_two_stage,3,2.988575,3.7749,0.3337,11.3248,1.0012,True,0.0019,1.0,0.1
proposed_two_stage,3,2.988175,3.7749,0.3337,11.3248,1.0012,True,0.0015,1.0,0.5
proposed_two_stage,3,2.987674,3.7749,0.3337,11.3248,1.0012,True,0.0014,1.0,1.0
proposed_two_stage,3,2.986673,3.7749,0.3337,11.3248,1.0012,True,0.0017,1.0,2.0
proposed_two_stage,3,2.983669,3.7749,0.3337,11.3248,1.0012,True,0.0014,1.0,5.0
proposed_two_stage,3,2.978663,3.7749,0.3337,11.3248,1.0012,True,0.0014,1.0,10.0
proposed_two_stage,3,2.97725,3.7749,0.3337,11.3248,1.0012,True,0.0014,2.0,0.1
proposed_two_stage,3,2.97685,3.7749,0.3337,11.3248,1.0012,True,0.0014,2.0,0.5
proposed_two_stage,3,2.976349,3.7749,0.3337,11.3248,1.0012,True,0.0019,2.0,1.0
proposed_two_stage,3,2.975348,3.7749,0.3337,11.3248,1.0012,True,0.0017,2.0,2.0
proposed_two_stage,3,2.972344,3.7749,0.3337,11.3248,1.0012,True,0.0015,2.0,5.0
proposed_two_stage,3,2.967338,3.7749,0.3337,11.3248,1.0012,True,0.0014,2.0,10.0
proposed_two_stage,3,2.943276,3.7749,0.3337,11.3248,1.0012,True,0.0014,5.0,0.1
proposed_two_stage,3,2.942875,3.7749,0.3337,11.3248,1.0012,True,0.0014,5.0,0.5
proposed_two_stage,3,2.942375,3.7749,0.3337,11.3248,1.0012,True,0.0014,5.0,1.0
proposed_two_stage,3,2.941373,3.7749,0.3337,11.3248,1.0012,True,0.0015,5.0,2.0
proposed_two_stage,3,2.93837,3.7749,0.3337,11.3248,1.0012,True,0.0015,5.0,5.0
proposed_two_stage,3,2.933364,3.7749,0.3337,11.3248,1.0012,True,0.002,5.0,10.0
proposed_two_stage,3,2.886652,3.7749,0.3337,11.3248,1.0012,True,0.0015,10.0,0.1
proposed_two_stage,3,2.886251,3.7749,0.3337,11.3248,1.0012,True,0.0014,10.0,0.5
proposed_two_stage,3,2.885751,3.7749,0.3337,11.3248,1.0012,True,0.0014,10.0,1.0
proposed_two_stage,3,2.884749,3.7749,0.3337,11.3248,1.0012,True,0.0014,10.0,2.0
proposed_two_stage,3,2.881746,3.7749,0.3337,11.3248,1.0012,True,0.0014,10.0,5.0
proposed_two_stage,3,2.876739,3.7749,0.3337,11.3248,1.0012,True,0.0014,10.0,10.0
